;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 02.04.2020 11:34:22
;----------------------------------------------

;Address Opcode 	ASM
0x0BCA	0x3600      	RLCF        R0, 1 
0x0BCC	0x9000      	BCF         R0, 0 
0x0BCE	0x3601      	RLCF        R1, 1 
0x0BD0	0x0EB6      	MOVLW       __Lib_USB_genHID_BDTEntry_InPtr
0x0BD2	0x2400      	ADDWF       R0, 0 
0x0BD4	0x6E02      	MOVWF       R2 
0x0BD6	0x0E01      	MOVLW       hi_addr(__Lib_USB_genHID_BDTEntry_InPtr)
0x0BD8	0x2001      	ADDWFC      R1, 0 
0x0BDA	0x6E03      	MOVWF       R3 
0x0BDC	0xFFE9C002  	MOVFF       R2, FSR0
0x0BE0	0xFFEAC003  	MOVFF       R3, FSR0H
0x0BE4	0x0E04      	MOVLW       4
0x0BE6	0x18EE      	XORWF       POSTINC0, 0 
0x0BE8	0x6E00      	MOVWF       R0 
0x0BEA	0xFFE1C002  	MOVFF       R2, FSR1
0x0BEE	0xFFE2C003  	MOVFF       R3, FSR1H
0x0BF2	0xFFE6C000  	MOVFF       R0, POSTINC1
;__Lib_USB_genHID.c,4143 :: 		
0x0BF6	0xD01A      	BRA         L___Lib_USB_genHID_USB_Transfer_Packet_Int202
L___Lib_USB_genHID_USB_Transfer_Packet_Int201:
;__Lib_USB_genHID.c,4145 :: 		
0x0BF8	0xF000C1F5  	MOVFF       FARG___Lib_USB_genHID_USB_Transfer_Packet_Int_ep, R0
0x0BFC	0x0E00      	MOVLW       0
0x0BFE	0x6E01      	MOVWF       R1 
0x0C00	0x3600      	RLCF        R0, 1 
0x0C02	0x9000      	BCF         R0, 0 
0x0C04	0x3601      	RLCF        R1, 1 
0x0C06	0x0E97      	MOVLW       __Lib_USB_genHID_BDTEntry_OutPtr
0x0C08	0x2400      	ADDWF       R0, 0 
0x0C0A	0x6E02      	MOVWF       R2 
0x0C0C	0x0E01      	MOVLW       hi_addr(__Lib_USB_genHID_BDTEntry_OutPtr)
0x0C0E	0x2001      	ADDWFC      R1, 0 
0x0C10	0x6E03      	MOVWF       R3 
0x0C12	0xFFE9C002  	MOVFF       R2, FSR0
0x0C16	0xFFEAC003  	MOVFF       R3, FSR0H
0x0C1A	0x0E04      	MOVLW       4
0x0C1C	0x18EE      	XORWF       POSTINC0, 0 
0x0C1E	0x6E00      	MOVWF       R0 
0x0C20	0xFFE1C002  	MOVFF       R2, FSR1
0x0C24	0xFFE2C003  	MOVFF       R3, FSR1H
0x0C28	0xFFE6C000  	MOVFF       R0, POSTINC1
;__Lib_USB_genHID.c,4146 :: 		
L___Lib_USB_genHID_USB_Transfer_Packet_Int202:
;__Lib_USB_genHID.c,4147 :: 		
0x0C2C	0xF000C004  	MOVFF       R4, R0
0x0C30	0xF001C005  	MOVFF       R5, R1
;__Lib_USB_genHID.c,4148 :: 		
L_end_USB_Transfer_Packet_Int:
0x0C34	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_Transfer_Packet_Int
__Lib_USB_genHID_USB_CtrlEP_Service_Complete:
;__Lib_USB_genHID.c,3621 :: 		
;__Lib_USB_genHID.c,3627 :: 		
0x0C36	0x986D      	BCF         PKTDIS_bit, 4 
;__Lib_USB_genHID.c,3629 :: 		
0x0C38	0x0101      	MOVLB       1
0x0C3A	0xBFD7      	BTFSC       __Lib_USB_genHID_inPipes+3, 7, 1
0x0C3C	0xD049      	BRA         L___Lib_USB_genHID_USB_CtrlEP_Service_Complete160
;__Lib_USB_genHID.c,3630 :: 		
0x0C3E	0xAFCD      	BTFSS       __Lib_USB_genHID_outPipes+2, 7, 1
0x0C40	0xD028      	BRA         L___Lib_USB_genHID_USB_CtrlEP_Service_Complete161
;__Lib_USB_genHID.c,3631 :: 		
0x0C42	0x0E02      	MOVLW       2
0x0C44	0x6FC2      	MOVWF       __Lib_USB_genHID_controlTransferState, 1
;__Lib_USB_genHID.c,3644 :: 		
0x0C46	0x0E01      	MOVLW       1
0x0C48	0x25B6      	ADDWF       __Lib_USB_genHID_BDTEntry_InPtr, 0, 1
0x0C4A	0x6EE1      	MOVWF       FSR1 
0x0C4C	0x0E00      	MOVLW       0
0x0C4E	0x21B7      	ADDWFC      __Lib_USB_genHID_BDTEntry_InPtr+1, 0, 1
0x0C50	0x6EE2      	MOVWF       FSR1H 
0x0C52	0x6AE6      	CLRF        POSTINC1 
;__Lib_USB_genHID.c,3645 :: 		
0x0C54	0xFFE1C1B6  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr, FSR1
0x0C58	0xFFE2C1B7  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+1, FSR1H
0x0C5C	0x0EC8      	MOVLW       200
0x0C5E	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3650 :: 		
0x0C60	0x0E01      	MOVLW       1
0x0C62	0x25C5      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, 0, 1
0x0C64	0x6EE1      	MOVWF       FSR1 
0x0C66	0x0E00      	MOVLW       0
0x0C68	0x21C6      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, 0, 1
0x0C6A	0x6EE2      	MOVWF       FSR1H 
0x0C6C	0x0E08      	MOVLW       8
0x0C6E	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3651 :: 		
0x0C70	0x0E02      	MOVLW       2
0x0C72	0x25C5      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, 0, 1
0x0C74	0x6EE1      	MOVWF       FSR1 
0x0C76	0x0E00      	MOVLW       0
0x0C78	0x21C6      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, 0, 1
0x0C7A	0x6EE2      	MOVWF       FSR1H 
0x0C7C	0x0E28      	MOVLW       __Lib_USB_genHID_CtrlTrfData
0x0C7E	0x6EE6      	MOVWF       POSTINC1 
0x0C80	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_CtrlTrfData)
0x0C82	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3652 :: 		
0x0C84	0xFFE1C1C5  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, FSR1
0x0C88	0xFFE2C1C6  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, FSR1H
0x0C8C	0x0EC8      	MOVLW       200
0x0C8E	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3653 :: 		
0x0C90	0xD01E      	BRA         L___Lib_USB_genHID_USB_CtrlEP_Service_Complete162
L___Lib_USB_genHID_USB_CtrlEP_Service_Complete161:
;__Lib_USB_genHID.c,3658 :: 		
0x0C92	0x0E01      	MOVLW       1
0x0C94	0x25C5      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, 0, 1
0x0C96	0x6EE1      	MOVWF       FSR1 
0x0C98	0x0E00      	MOVLW       0
0x0C9A	0x21C6      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, 0, 1
0x0C9C	0x6EE2      	MOVWF       FSR1H 
0x0C9E	0x0E08      	MOVLW       8
0x0CA0	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3659 :: 		
0x0CA2	0x0E02      	MOVLW       2
0x0CA4	0x25C5      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, 0, 1
0x0CA6	0x6EE1      	MOVWF       FSR1 
0x0CA8	0x0E00      	MOVLW       0
0x0CAA	0x21C6      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, 0, 1
0x0CAC	0x6EE2      	MOVWF       FSR1H 
0x0CAE	0x0E20      	MOVLW       __Lib_USB_genHID_SetupPkt
0x0CB0	0x6EE6      	MOVWF       POSTINC1 
0x0CB2	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_SetupPkt)
0x0CB4	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3660 :: 		
0x0CB6	0xFFE1C1C5  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, FSR1
0x0CBA	0xFFE2C1C6  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, FSR1H
0x0CBE	0x0E8C      	MOVLW       140
0x0CC0	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3661 :: 		
0x0CC2	0xFFE1C1B6  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr, FSR1
0x0CC6	0xFFE2C1B7  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+1, FSR1H
0x0CCA	0x0E84      	MOVLW       132
0x0CCC	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3662 :: 		
L___Lib_USB_genHID_USB_CtrlEP_Service_Complete162:
;__Lib_USB_genHID.c,3663 :: 		
0x0CCE	0xD082      	BRA         L___Lib_USB_genHID_USB_CtrlEP_Service_Complete163
L___Lib_USB_genHID_USB_CtrlEP_Service_Complete160:
;__Lib_USB_genHID.c,3665 :: 		
0x0CD0	0xBFCD      	BTFSC       __Lib_USB_genHID_outPipes+2, 7, 1
0x0CD2	0xD080      	BRA         L___Lib_USB_genHID_USB_CtrlEP_Service_Complete164
;__Lib_USB_genHID.c,3666 :: 		
0x0CD4	0x0104      	MOVLB       4
0x0CD6	0xAF20      	BTFSS       __Lib_USB_genHID_SetupPkt, 7, 1
0x0CD8	0xD055      	BRA         L___Lib_USB_genHID_USB_CtrlEP_Service_Complete165
;__Lib_USB_genHID.c,3667 :: 		
0x0CDA	0x0101      	MOVLB       1
0x0CDC	0x51D9      	MOVF        __Lib_USB_genHID_inPipes+5, 0, 1
0x0CDE	0x0104      	MOVLB       4
0x0CE0	0x5D27      	SUBWF       1063, 0, 1
0x0CE2	0xE104      	BNZ         L___Lib_USB_genHID_USB_CtrlEP_Service_Complete308
0x0CE4	0x0101      	MOVLB       1
0x0CE6	0x51D8      	MOVF        __Lib_USB_genHID_inPipes+4, 0, 1
0x0CE8	0x0104      	MOVLB       4
0x0CEA	0x5D26      	SUBWF       1062, 0, 1
L___Lib_USB_genHID_USB_CtrlEP_Service_Complete308:
0x0CEC	0xE204      	BC          L___Lib_USB_genHID_USB_CtrlEP_Service_Complete166
;__Lib_USB_genHID.c,3668 :: 		
0x0CEE	0xF1D8C426  	MOVFF       1062, __Lib_USB_genHID_inPipes+4
0x0CF2	0xF1D9C427  	MOVFF       1063, __Lib_USB_genHID_inPipes+5
;__Lib_USB_genHID.c,3669 :: 		
L___Lib_USB_genHID_USB_CtrlEP_Service_Complete166:
;__Lib_USB_genHID.c,3670 :: 		
0x0CF6	0xDD30      	RCALL       __Lib_USB_genHID_USB_CtrlTrf_Tx_Service
;__Lib_USB_genHID.c,3671 :: 		
0x0CF8	0x0E01      	MOVLW       1
0x0CFA	0x6FC2      	MOVWF       __Lib_USB_genHID_controlTransferState, 1
;__Lib_USB_genHID.c,3694 :: 		
0x0CFC	0x0E01      	MOVLW       1
0x0CFE	0x25C5      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, 0, 1
0x0D00	0x6EE1      	MOVWF       FSR1 
0x0D02	0x0E00      	MOVLW       0
0x0D04	0x21C6      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, 0, 1
0x0D06	0x6EE2      	MOVWF       FSR1H 
0x0D08	0x0E08      	MOVLW       8
0x0D0A	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3695 :: 		
0x0D0C	0x0E02      	MOVLW       2
0x0D0E	0x25C5      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, 0, 1
0x0D10	0x6EE1      	MOVWF       FSR1 
0x0D12	0x0E00      	MOVLW       0
0x0D14	0x21C6      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, 0, 1
0x0D16	0x6EE2      	MOVWF       FSR1H 
0x0D18	0x0E20      	MOVLW       __Lib_USB_genHID_SetupPkt
0x0D1A	0x6EE6      	MOVWF       POSTINC1 
0x0D1C	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_SetupPkt)
0x0D1E	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3696 :: 		
0x0D20	0xFFE1C1C5  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, FSR1
0x0D24	0xFFE2C1C6  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, FSR1H
0x0D28	0x0E80      	MOVLW       128
0x0D2A	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3697 :: 		
0x0D2C	0x6BC3      	CLRF        __Lib_USB_genHID_BothEP0OutUOWNsSet, 1
;__Lib_USB_genHID.c,3700 :: 		
0x0D2E	0x0E01      	MOVLW       1
0x0D30	0x25C9      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_CurrentPtr, 0, 1
0x0D32	0x6EE1      	MOVWF       FSR1 
0x0D34	0x0E00      	MOVLW       0
0x0D36	0x21CA      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_CurrentPtr+1, 0, 1
0x0D38	0x6EE2      	MOVWF       FSR1H 
0x0D3A	0x0E08      	MOVLW       8
0x0D3C	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3701 :: 		
0x0D3E	0x0E02      	MOVLW       2
0x0D40	0x25C9      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_CurrentPtr, 0, 1
0x0D42	0x6EE1      	MOVWF       FSR1 
0x0D44	0x0E00      	MOVLW       0
0x0D46	0x21CA      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_CurrentPtr+1, 0, 1
0x0D48	0x6EE2      	MOVWF       FSR1H 
0x0D4A	0x0E20      	MOVLW       __Lib_USB_genHID_SetupPkt
0x0D4C	0x6EE6      	MOVWF       POSTINC1 
0x0D4E	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_SetupPkt)
0x0D50	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3702 :: 		
0x0D52	0xFFE1C1C9  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_CurrentPtr, FSR1
0x0D56	0xFFE2C1CA  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_CurrentPtr+1, FSR1H
0x0D5A	0x0E84      	MOVLW       132
0x0D5C	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3703 :: 		
0x0D5E	0x0E01      	MOVLW       1
0x0D60	0x6FC3      	MOVWF       __Lib_USB_genHID_BothEP0OutUOWNsSet, 1
;__Lib_USB_genHID.c,3710 :: 		
0x0D62	0x0E02      	MOVLW       2
0x0D64	0x25B6      	ADDWF       __Lib_USB_genHID_BDTEntry_InPtr, 0, 1
0x0D66	0x6EE1      	MOVWF       FSR1 
0x0D68	0x0E00      	MOVLW       0
0x0D6A	0x21B7      	ADDWFC      __Lib_USB_genHID_BDTEntry_InPtr+1, 0, 1
0x0D6C	0x6EE2      	MOVWF       FSR1H 
0x0D6E	0x0E28      	MOVLW       __Lib_USB_genHID_CtrlTrfData
0x0D70	0x6EE6      	MOVWF       POSTINC1 
0x0D72	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_CtrlTrfData)
0x0D74	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3711 :: 		
0x0D76	0xFFE1C1B6  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr, FSR1
0x0D7A	0xFFE2C1B7  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+1, FSR1H
0x0D7E	0x0EC8      	MOVLW       200
0x0D80	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3712 :: 		
0x0D82	0xD028      	BRA         L___Lib_USB_genHID_USB_CtrlEP_Service_Complete167
L___Lib_USB_genHID_USB_CtrlEP_Service_Complete165:
0x0D84	0x0101      	MOVLB       1
;__Lib_USB_genHID.c,3714 :: 		
0x0D86	0x0E02      	MOVLW       2
0x0D88	0x6FC2      	MOVWF       __Lib_USB_genHID_controlTransferState, 1
;__Lib_USB_genHID.c,3724 :: 		
0x0D8A	0x0E01      	MOVLW       1
0x0D8C	0x25B6      	ADDWF       __Lib_USB_genHID_BDTEntry_InPtr, 0, 1
0x0D8E	0x6EE1      	MOVWF       FSR1 
0x0D90	0x0E00      	MOVLW       0
0x0D92	0x21B7      	ADDWFC      __Lib_USB_genHID_BDTEntry_InPtr+1, 0, 1
0x0D94	0x6EE2      	MOVWF       FSR1H 
0x0D96	0x6AE6      	CLRF        POSTINC1 
;__Lib_USB_genHID.c,3725 :: 		
0x0D98	0xFFE1C1B6  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr, FSR1
0x0D9C	0xFFE2C1B7  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+1, FSR1H
0x0DA0	0x0EC8      	MOVLW       200
0x0DA2	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3730 :: 		
0x0DA4	0x0E01      	MOVLW       1
0x0DA6	0x25C5      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, 0, 1
0x0DA8	0x6EE1      	MOVWF       FSR1 
0x0DAA	0x0E00      	MOVLW       0
0x0DAC	0x21C6      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, 0, 1
0x0DAE	0x6EE2      	MOVWF       FSR1H 
0x0DB0	0x0E08      	MOVLW       8
0x0DB2	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3731 :: 		
0x0DB4	0x0E02      	MOVLW       2
0x0DB6	0x25C5      	ADDWF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, 0, 1
0x0DB8	0x6EE1      	MOVWF       FSR1 
0x0DBA	0x0E00      	MOVLW       0
0x0DBC	0x21C6      	ADDWFC      __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, 0, 1
0x0DBE	0x6EE2      	MOVWF       FSR1H 
0x0DC0	0x0E28      	MOVLW       __Lib_USB_genHID_CtrlTrfData
0x0DC2	0x6EE6      	MOVWF       POSTINC1 
0x0DC4	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_CtrlTrfData)
0x0DC6	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3732 :: 		
0x0DC8	0xFFE1C1C5  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr, FSR1
0x0DCC	0xFFE2C1C6  	MOVFF       __Lib_USB_genHID_BDTEntry_EP0Out_NextPtr+1, FSR1H
0x0DD0	0x0EC8      	MOVLW       200
0x0DD2	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,3733 :: 		
L___Lib_USB_genHID_USB_CtrlEP_Service_Complete167:
;__Lib_USB_genHID.c,3734 :: 		
L___Lib_USB_genHID_USB_CtrlEP_Service_Complete164:
;__Lib_USB_genHID.c,3735 :: 		
L___Lib_USB_genHID_USB_CtrlEP_Service_Complete163:
;__Lib_USB_genHID.c,3737 :: 		
L_end_USB_CtrlEP_Service_Complete:
0x0DD4	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_CtrlEP_Service_Complete
__Lib_USB_genHID_USB_Check_Std_Request:
;__Lib_USB_genHID.c,3337 :: 		
;__Lib_USB_genHID.c,3338 :: 		
0x0DD6	0xF001C420  	MOVFF       __Lib_USB_genHID_SetupPkt, R1
0x0DDA	0x0E60      	MOVLW       96
0x0DDC	0x1601      	ANDWF       R1, 1 
0x0DDE	0x0E05      	MOVLW       5
0x0DE0	0x6E00      	MOVWF       R0 
0x0DE2	0x5000      	MOVF        R0, 0 
L___Lib_USB_genHID_USB_Check_Std_Request302:
0x0DE4	0xE004      	BZ          L___Lib_USB_genHID_USB_Check_Std_Request303
0x0DE6	0x3201      	RRCF        R1, 1 
0x0DE8	0x9E01      	BCF         R1, 7 
0x0DEA	0x0FFF      	ADDLW       255
0x0DEC	0xD7FB      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request302
L___Lib_USB_genHID_USB_Check_Std_Request303:
0x0DEE	0x5001      	MOVF        R1, 0 
0x0DF0	0x0A00      	XORLW       0
0x0DF2	0xE001      	BZ          L___Lib_USB_genHID_USB_Check_Std_Request111
0x0DF4	0xD06B      	BRA         L_end_USB_Check_Std_Request
L___Lib_USB_genHID_USB_Check_Std_Request111:
;__Lib_USB_genHID.c,3340 :: 		
0x0DF6	0xD047      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request112
;__Lib_USB_genHID.c,3341 :: 		
L___Lib_USB_genHID_USB_Check_Std_Request114:
;__Lib_USB_genHID.c,3342 :: 		
0x0DF8	0x0101      	MOVLB       1
0x0DFA	0x8FD7      	BSF         __Lib_USB_genHID_inPipes+3, 7, 1
;__Lib_USB_genHID.c,3343 :: 		
0x0DFC	0x0E08      	MOVLW       8
0x0DFE	0x6F96      	MOVWF       __Lib_USB_genHID_USBDeviceState, 1
;__Lib_USB_genHID.c,3345 :: 		
0x0E00	0xD065      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request113
;__Lib_USB_genHID.c,3346 :: 		
L___Lib_USB_genHID_USB_Check_Std_Request115:
;__Lib_USB_genHID.c,3347 :: 		
0x0E02	0xF002ECFA  	CALL        __Lib_USB_genHID_USB_Get_Dsc_Handler, 0
;__Lib_USB_genHID.c,3348 :: 		
0x0E06	0xD062      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request113
;__Lib_USB_genHID.c,3349 :: 		
L___Lib_USB_genHID_USB_Check_Std_Request116:
;__Lib_USB_genHID.c,3350 :: 		
0x0E08	0xDC74      	RCALL       __Lib_USB_genHID_USB_Set_Cfg_Handler
;__Lib_USB_genHID.c,3351 :: 		
0x0E0A	0xD060      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request113
;__Lib_USB_genHID.c,3352 :: 		
L___Lib_USB_genHID_USB_Check_Std_Request117:
;__Lib_USB_genHID.c,3353 :: 		
0x0E0C	0x0EDC      	MOVLW       __Lib_USB_genHID_USBActiveConfiguration
0x0E0E	0x0101      	MOVLB       1
0x0E10	0x6FD4      	MOVWF       __Lib_USB_genHID_inPipes, 1
0x0E12	0x0E01      	MOVLW       hi_addr(__Lib_USB_genHID_USBActiveConfiguration)
0x0E14	0x6FD5      	MOVWF       __Lib_USB_genHID_inPipes+1, 1
;__Lib_USB_genHID.c,3354 :: 		
0x0E16	0x81D7      	BSF         __Lib_USB_genHID_inPipes+3, 0, 1
;__Lib_USB_genHID.c,3355 :: 		
0x0E18	0x0E01      	MOVLW       1
0x0E1A	0x6FD8      	MOVWF       __Lib_USB_genHID_inPipes+4, 1
;__Lib_USB_genHID.c,3356 :: 		
0x0E1C	0x8FD7      	BSF         __Lib_USB_genHID_inPipes+3, 7, 1
;__Lib_USB_genHID.c,3357 :: 		
0x0E1E	0xD056      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request113
;__Lib_USB_genHID.c,3358 :: 		
L___Lib_USB_genHID_USB_Check_Std_Request118:
;__Lib_USB_genHID.c,3359 :: 		
0x0E20	0xDDE1      	RCALL       __Lib_USB_genHID_USB_Get_Status_Handler
;__Lib_USB_genHID.c,3360 :: 		
0x0E22	0xD054      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request113
;__Lib_USB_genHID.c,3361 :: 		
L___Lib_USB_genHID_USB_Check_Std_Request119:
;__Lib_USB_genHID.c,3362 :: 		
L___Lib_USB_genHID_USB_Check_Std_Request120:
;__Lib_USB_genHID.c,3363 :: 		
0x0E24	0xDD37      	RCALL       __Lib_USB_genHID_USB_Std_Feature_Req_Handler
;__Lib_USB_genHID.c,3364 :: 		
0x0E26	0xD052      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request113
;__Lib_USB_genHID.c,3365 :: 		
L___Lib_USB_genHID_USB_Check_Std_Request121:
;__Lib_USB_genHID.c,3366 :: 		
0x0E28	0x0EE1      	MOVLW       __Lib_USB_genHID_USBAlternateInterface
0x0E2A	0x6E00      	MOVWF       R0 
0x0E2C	0x0E01      	MOVLW       hi_addr(__Lib_USB_genHID_USBAlternateInterface)
0x0E2E	0x6E01      	MOVWF       R1 
0x0E30	0x0104      	MOVLB       4
0x0E32	0x5124      	MOVF        1060, 0, 1
0x0E34	0x2600      	ADDWF       R0, 1 
0x0E36	0xB0D8      	BTFSC       STATUS, 0 
0x0E38	0x2A01      	INCF        R1, 1 
0x0E3A	0xF1D4C000  	MOVFF       R0, __Lib_USB_genHID_inPipes
0x0E3E	0xF1D5C001  	MOVFF       R1, __Lib_USB_genHID_inPipes+1
;__Lib_USB_genHID.c,3367 :: 		
0x0E42	0x0101      	MOVLB       1
0x0E44	0x81D7      	BSF         __Lib_USB_genHID_inPipes+3, 0, 1
;__Lib_USB_genHID.c,3368 :: 		
0x0E46	0x0E01      	MOVLW       1
0x0E48	0x6FD8      	MOVWF       __Lib_USB_genHID_inPipes+4, 1
;__Lib_USB_genHID.c,3369 :: 		
0x0E4A	0x8FD7      	BSF         __Lib_USB_genHID_inPipes+3, 7, 1
;__Lib_USB_genHID.c,3370 :: 		
0x0E4C	0xD03F      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request113
;__Lib_USB_genHID.c,3371 :: 		
L___Lib_USB_genHID_USB_Check_Std_Request122:
0x0E4E	0x0101      	MOVLB       1
;__Lib_USB_genHID.c,3372 :: 		
0x0E50	0x8FD7      	BSF         __Lib_USB_genHID_inPipes+3, 7, 1
;__Lib_USB_genHID.c,3373 :: 		
0x0E52	0x0EE1      	MOVLW       __Lib_USB_genHID_USBAlternateInterface
0x0E54	0x6EE1      	MOVWF       FSR1 
0x0E56	0x0E01      	MOVLW       hi_addr(__Lib_USB_genHID_USBAlternateInterface)
0x0E58	0x6EE2      	MOVWF       FSR1H 
0x0E5A	0x0104      	MOVLB       4
0x0E5C	0x5124      	MOVF        1060, 0, 1
0x0E5E	0x26E1      	ADDWF       FSR1, 1 
0x0E60	0xB0D8      	BTFSC       STATUS, 0 
0x0E62	0x2AE2      	INCF        FSR1H, 1 
0x0E64	0xFFE6C422  	MOVFF       1058, POSTINC1
;__Lib_USB_genHID.c,3374 :: 		
0x0E68	0xD031      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request113
;__Lib_USB_genHID.c,3375 :: 		
L___Lib_USB_genHID_USB_Check_Std_Request123:
;__Lib_USB_genHID.c,3376 :: 		
0x0E6A	0x0E02      	MOVLW       2
0x0E6C	0x0101      	MOVLB       1
0x0E6E	0x6FFF      	MOVWF       FARG___Lib_USB_genHID_USB_CB_Handler_event, 1
0x0E70	0x0E00      	MOVLW       0
0x0E72	0x0102      	MOVLB       2
0x0E74	0x6F00      	MOVWF       FARG___Lib_USB_genHID_USB_CB_Handler_event+1, 1
0x0E76	0x6B01      	CLRF        FARG___Lib_USB_genHID_USB_CB_Handler_pdata, 1
0x0E78	0x6B02      	CLRF        FARG___Lib_USB_genHID_USB_CB_Handler_pdata+1, 1
0x0E7A	0x6B03      	CLRF        FARG___Lib_USB_genHID_USB_CB_Handler_size, 1
0x0E7C	0x6B04      	CLRF        FARG___Lib_USB_genHID_USB_CB_Handler_size+1, 1
0x0E7E	0xF002EC75  	CALL        __Lib_USB_genHID_USB_CB_Handler, 0
;__Lib_USB_genHID.c,3377 :: 		
0x0E82	0xD024      	BRA         L___Lib_USB_genHID_USB_Check_Std_Request113
;__Lib_USB_genHID.c,3378 :: 		
L___Lib_USB_genHID_USB_Check_Std_Request124:
;__Lib_USB_genHID.c,3379 :: 		
L___Lib_USB_genHID_USB_Check_Std_Request125:
